nom,description,logo,Date dernier financement,Série,Montant,LinkedIn,Contact,Date de création_x,Marché,Type d'organisme,SIREN,Activité principale,Tranche effectifs,market,employees,date de création,valeur_entreprise,financement,dernier_financement,mots_cles_def,site_web_def,adresse_def
INEO,"INEO is an antifraud and digital onboarding service company. As a technological as well as an antifraud provider INEO specializes in identification and acquisition processes. INEO developed advanced services and tools that can spot counterfeit ID documents in real-time, as well as immediately manage the onboarding process via AI libraries to be sure the data and the documents acquired are authentic. INEO digital solutions offer scalable services, customizable on client's needs, with a simple and smart UX, compatible with all customers' tech sensitiveness and readiness, that guarantees successful procedures and a drastic reduction of churn rate during remote and in presence digital onboarding processes. INEO ensure companies to implement digital experiences like no other, optimizing time-to-market and offering final user with simple and safe identification, verification and acquisition processes.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/869f0efb-8fb3-4619-b6ad-69b7fb33d17a1,,,,,,,,,,,,,,,,,,,['https://www.ineo.it/en'],ROME
INFORICH INC.,"ChargeSPOT is Japan's #1 power bank provider. Our rental stations are located in convenience stores, shopping malls, hotels, restaurants, bars, retail & entertainment locations. ChargeSPOT helps keep your life and your travels fully charged! Elevate your business with ChargeSPOT, the leading mobile charging solution! Attract more customers by offering convenient power-on-the-go. Low investment, high returns. Join us and power up your success today! Our service is in Japan, China, Hong Kong, Macau, Taiwan, Thailand, Singapore and more to come! #ChargeSPOT #PowerYourBusiness #sharing service #Power Bank Rental #green tech #INFORICH #sustainability #Startup #Japan #New Business #Franchise #Digital Signage #Gamification #Marketing #Cross Border Business",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/200497c4-0502-4e4b-82cd-470fcd6e090c1,,,,,,,,,,,,,,,,,,,['https://chargespot.jp/global'],"TOKYO, SHIBUYA-KU"
INGEN MECANICA,"Développement d'un système pour diminuer la consommation de carburants et les émissions de gaz polluants, sur tout types de moteurs thermique essence ou diesel. Système qui utilise la vapeur d'eau ionisée Générateur d'énergie à thermolyse endothermique avec ionisation électromagnétique de la vapeur d'eau.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/87b256e8-2872-43be-b4a7-4558c8d713851,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.ingen-mecanica.com'],GUE DE CONSTANTINE
INGRAM MICRO,"Lorsqu’il s’agit de rendre le monde meilleur grâce à la technologie, Ingram Micro Cloud repousse les limites du possible pour tous les spécialistes de la résolution de problèmes qui cherchent des solutions, ainsi que pour tous les spécialistes de l'innovation qui souhaitent concrétiser leur projet. L'identification et la mise en œuvre sur le marché de technologies révolutionnaires capables de transformer notre mode de vie actuel (comme notamment révolutionner les moyens de transport, optimiser la productivité ou d’autres avancées qui changent la donne) nous permettent de donner aux spécialistes de la résolution de problèmes, aux innovateurs et au bout du compte à tous les habitants de la planète, les moyens d'en faire plus.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/335ee46c-c8fb-4a9c-a5af-5120026235031,,,,,,,,,,,,,,,,,,,['https://fr-new.ingrammicro.com/'],None
"INNOPHYS CO., LTD","Innophys was founded based on the technology of Professor Hiroshi Kobayashi at Tokyo University of Science, with a mission to ""enable independent living as long as one lives,"" aiming to address societal issues such as labor shortages and caregiving burdens arising from the aging population. Primarily focusing on developing assistive suits to alleviate the strain on workers' lower backs, the company has a track record of implementation across various sectors including caregiving, manufacturing, transportation and logistics, and construction. These exoskeletons have proven to enhance operational efficiency, facilitate the utilization of seniors and women, and reduce the risk of work-related injuries. The flagship product, the Muscle Suit, operates without the need for electricity due to its simple technological design that utilizes the mechanics of air and rubber. It has gained significant support from labor-intensive fields facing labor shortages, often referred to as the ""3K"" sectors.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/98e17879-1df9-406d-a4b4-12cb2863ae671,,,,,,,,,,,,,,,,,,,['https://innophys.jp/en'],TOKYO
INNOV TECH,"INNOV TECH is a leading Business Process Outsourcing (BPO) company, dedicated to providing innovative solutions to businesses worldwide. With a focus on streamlining processes and enhancing productivity, we aim to be a strategic partner in our clients’ growth and success. At INNOV TECH, we understand that businesses in today’s dynamic and competitive landscape require agile and efficient solutions to thrive. As a forward-thinking BPO partner, we bring a fresh perspective to traditional outsourcing services, leveraging cutting-edge technology and industry expertise to drive transformative change. Since our inception, we have been at the forefront of digital innovation, adapting to emerging trends, and anticipating the ever-evolving needs of our clients. Our commitment to excellence and customer-centric approach has earned us a reputation for delivering tangible results and exceeding expectations.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9fdd4f90-ef26-45d9-beb5-059af2be74181,,,,,,,,,,,,,,,,,,,['https://innovtechbpo.com/'],GAZIPUR
INOVI GROUP,"INOVI Group is an IT startup specializing in innovative software solutions for corporate and mass-market sectors. Established in 2021, the company focuses on addressing specific challenges within sales and customer relationship management. Its flagship product, iSale, offers businesses a comprehensive CRM platform that streamlines sales processes, facilitates data integration, and enhances decision-making. iSale improves sales team efficiency, provides real-time insights, and fosters strong customer relationships. Additionally, INOVI Group has gained recognition and partnerships with major players in the industry, including International Trade Center and Middle East Partner Initiative. With a commitment to quality and agility, the company aims to revolutionize the way businesses manage customer relationships and sales operations.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/8cec7403-f565-4d88-9d9e-6e3d12c516671,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.inovigroup.dz'],TIARET
INSTADRIVE,"Maintaining your car properly ensures its longevity, increases its sale value and reduces maintenance costs. However, this task is usualy a terrible headache and a very unpleasant experience. Instadrive has focused on this problem by revolutionizing the relationship between the vehicle owner and the mechanic in the first instance, but also all the other stackholders involved. with features such as intelligent service reminders, maintenance recommendations and service management, instadrive keeps your car in top condition and in close contact with your favorite mechanic. With instadrive, Car maintenance is now as simple and pleasant a task as possible, and the user is spared all the hassle.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a6ef6d2d-2acb-47c1-bbc3-7d85a0d093561,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.instadrive.tech'],KASSERINE
IOASIS,"i-Oasis, founded in 2018, is a pioneering company in the creation of Virtual Reality training modules. Today we offer tailor-made training solutions for various companies, exploiting the immersive potential of VR. Our strength lies in our 640,000m² metaverse, an advanced virtual environment for cutting-edge learning. Combining technical and educational expertise, i-Oasis is dedicated to transforming education and professional training, making learning more engaging, practical and effective. i-Oasis designs tailor-made VR training modules in our unique metaverse, offering total immersion tailored to the specific needs of each company. These personalized environments enhance learning through realistic simulations, making training more engaging and effective. The i-Oasis solution combines innovation and personalization to revolutionize professional education in the digital age.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/58cb029b-73fd-45f7-b25b-6db7faa243321,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/i-oasis.fr'],None
ION-X,"To cope with the growing needs of small satellite propulsion, ION-X offers a compact, simple, versatile, and powerful propulsion technology, with production costs compatible with large-scale deployment. Based on patented electro-hydro-dynamic technology developed by Jacques Gierak (CNRS research Engineer at C2N, Palaiseau), ION-X thruster offers one of the best thrust, endurance and power consumption ratio for small satellites, with a non-toxic, inert, and non-pressurized propellant. Cofounded in May 2021 by CNRS & Technofounders, the startup has secured a financing seed round of €4.3 million in 2022 (with Technofounders, TF Participations, BPI France & Expansion) to support its R&D development and has now planned several missions in Low-Earth orbit, in the second half of 2024 and in 2025. The startup, now composed of more than 15 engineers located in the CNRS lab for Nanoscience and Nanotechnology (C2N, Palaiseau, France), is currently opening a Series-A financing round to accelerate its developments, recruit the best European talents, build its first production lines and introduce its products to the worldwide satellite market.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6cc130fc-e054-4f01-8f69-93f1c67b07e21,,,,,,,,,,,,,,,,,,,['https://ion-x.space/'],BOULOGNE-BILLANCOURT
IONNYK,"IONNYK is the only paper like digital art frame containing millions of tiny ink capsules. We use e-paper technology that mimic the appearance of ordinary ink on paper... but moving over time and space. Our state-of-the-art technology allows you to see digital art & photography in its purest form. 100% Cordless & up to 1-year of autonomy on one single charge. E-paper ink is your guarantee of high-visual quality art photography that feels like paper, no matter what the lighting conditions are like. Eye candy elegance guaranteed. Browse the gallery, follow your favorite themes and change pictures that suit settings and moods to enjoy your ever-growing art experience. What you see is a paper picture, what you get is magic.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a0ab19cd-5084-45dc-9bfb-9dabbe7aba3d1,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/ionnyk.com'],None
IOX GMBH,"We are building an entirely new way to integrate the Internet of Things into business processes. With cellular-based NB-IoT & LTE-M no on-site infrastructure such as Routers is needed. smart.click also takes care of the needed backend systems to ensure Plug & Play IoT solutions. Non-technical users can utilize IoT with simple No-Code Tools such as make or Power Automate. For professionals smart.click allows IoT as easy as implementing an API via Webhook, REST-API, MQTT, SAP, Power BI, and many more. As an IoT development partner, IOX develops customized IoT solutions. We support your IoT project from the initial idea to the serial production. To enable fast and scalable implementation, we develop solutions end-to-end, in-house, and from a single source. The IOX team consists of experts in the field of LPWAN-based IoT solutions, with core competencies in electrical engineering, hardware, and software development, as well as industrial design.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/233cc2f5-30cd-47bd-b2c3-14e2263f5bcb1,,,,,,,,,,,,,,,,,,,['https://ioxlab.de/en/'],DÜSSELDORF
IPIN LABS,"IPIN LABS helps companies with large indoor facilities (factories, smart buildings, etc.) to improve on-site productivity and safety by tracking to real-time location of their assets. Our AI-powered asset management system includes a Web portal, mobile apps and HW trackers. The core technology behind that is an indoor positioning system that combines movement data (rotation, acceleration) with RF signals (BLE, Wi-Fi) that exist in the indoor locations, using AI. We offer an low-cost, easy-to-implement indoor positioning system that can be deployed in less than 24 hours, at more than 50% lower cost than conventional systems. Technology validated by SK telecom, the No. 1 Korean telecom company for quantitative (accuracy) and qualitative (ease-of-use) indexes over a period of 10-month. Received a CAPEX investment from SK telecom, and now co-developing an Enterprise solution for manufacturing companies. Performed POC with SK telecom, Hanwha Vision, Renault Korea Motors, etc",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/fcde61d6-fd5f-4f74-98a3-b17c2df00f801,,,,,,,,,,,,,,,,,,,['https://ipinlabs.com/'],SEOUL
IPSUM TEK,"We design autonomous and intelligent mobile robots. We are developing the robots of tomorrow. Our main skills are Robotics, AI and Computer Vision. Founded in 2020 by Bernard FROMENT, a successful serial entrepreneur and Robotics expert, ipsum tek has developed a unique product on our planet: ONYRO. ONYRO is a service robot capable of moving safely among us (humans) but the new thing is that it is equipped with a robotic arm giving him a full autonomy in simple, but tiring, service tasks for employees. Such a robot with such gripping capacity can target many markets: Hotels, Restaurants, Bars, Supermarkets, Care Services, Elderly people at home or in retirement homes, Disabled, etc. At ipsum tek we envision “robots for good”, those that will help humans work better without ever replacing them. We are living in a key moment in our civilization where technology could be the only answer to the greatest challenges we are and will face.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/1238d10e-5dee-4400-bd8a-ad0a659d2b6a1,,,,,,,,,,,,,,,,,,,['https://www.ipsumtek.com/'],None
IQM QUANTUM COMPUTERS,"IQM is a global leader in building quantum computers IQM was founded in 2018 by a highly ambitious team of world-leading scientists having built several successful quantum labs and research centers globally during the past two decades. We had an audacious vision – to build quantum computers with a profound impact on humanity. The timing was perfect as international spotlight on quantum technology was growing, both in the public and private sectors, setting the stage for a transformative opportunity. Undertaking the task of building a quantum computer from scratch, we recognized an extraordinary opportunity to contribute something truly exceptional. The team’s pioneering work started with breakthroughs in qubit reset, readout, and thermal management towards large-scale quantum processors. Since then, the work has progressed to unique hardware advantages and novel concepts around digital-analog quantum computing.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7094e072-0e13-4bf2-acd7-efe52c5416811,,,,,,,,,,,,,,,,,,,['https://www.meetiqm.com/'],ESPOO
ICOSIUM,"Icosium is an AI & robotics startup specialized in intelligent micro automation and user experience enrichment for the events and entertainment industry, retail, F&B and others - Unforgettable experiences await! Explore the 'Future of Memories' at our booth in K12. We are committed to shaping a future where robotics excel across diverse domains, seamlessly integrating AI and robots to elevate standards of operation and drive unparalleled innovation in fields encompassing events, entertainment, f&b, retail and beyond.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/455c2aee-8baa-4dfd-93e8-1b843cee44841,,,,,,,,,,,,,,,,,,,['https://icosium.io/'],PARIS
IDA,"IDA is a French company involved in the development of supply chain solutions for fresh products based on artificial intelligence, and more specifically for food retailers. The main aim is to optimize ordering and inventory management processes, thus maximizing profits while reducing food waste.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7db56817-95ed-42cd-a26a-a24b29793b031,,,,,,,,,,,,,,,,,,,['https://www.ai-ida.com/'],PARIS
INCLUSIVITY SOLUTIONS,"Inclusivity Solutions is an embedded insurance Insurtech and one of the globally recognised “Inclusive Fintech 50”. Through our Open API based digital insurance platform combined with specialist insurance expertise, we seamlessly weave insurance into trusted products and services, making appropriate and affordable insurance accessible to emerging consumers at their fingertips. By doing so, we safeguard lives, health and businesses of consumers whilst simultaneously offering our distribution partners the opportunity to attract new customers, retain existing customers and drive new revenue streams. We have launched digital insurance initiatives across 8 African countries and counting. We have around 3 million customers on our platform. We have partnered with some of the biggest brands on the continent- MNOs like Orange, Airtel, MTN, Safaricom, banks like FNB, Stanbic, Equity Bank and digital native fintechs like MFS Africa, MPost, Instafinance etc.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/14fe1e01-eb5d-4781-9543-22ca30451ce51,,,,,,,,,,,,,,,,,,,['https://inclusivitysolutions.com/'],CAPE TOWN
INEKTO,"Inekto, a French technology company, focuses on deploying innovative software solutions that are sustainable and result-oriented. The firm employs top-tier engineers graduated from prestigious French schools, leveraging their expertise in cutting-edge fields like AI, blockchain, and green IT. Inekto aims to revolutionize various sectors by integrating these advanced technologies into practical applications, ensuring high efficiency and significant environmental benefits. Their services cater to businesses looking to modernize their operations with minimal ecological impact, positioning themselves at the forefront of the tech industry's shift towards sustainability.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/b0b51066-0698-450b-adf5-d681818172801,,,,,,,,,,,,,,,,,,,['https://inekto.fr/'],PARIS
INETUM,"Inetum is a European leader in digital services. Inetum’s team of 28,000 consultants and specialists strive every day to make a digital impact for businesses, public sector entities and society. Inetum’s solutions aim at contributing to its clients’ performance and innovation as well as the common good. Present in 19 countries with a dense network of sites, Inetum partners with major software publishers to meet the challenges of digital transformation with proximity and flexibility. Driven by its ambition for growth and scale, Inetum generated sales of 2.5 billion euros in 2023. Discover our program : https://inetummkt.activetrail.biz/Vivatech-2024-Paris#Home",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/0ba3e6a4-00a6-47ec-a4b9-66c1bdd098771,,,,,,,,,,,,,,,,,,,['https://www.inetum.com/en'],None
INFIX TECHNOLOGIES,"Infix Technology is developing foundational AI-technology to fully automate the hardest part of cybersecurity and application integration: the reverse engineering of data. Whether analysts are searching for vulnerabilities, trying to understand incidents or discovered traces or whenever engineers nees to integrate with legacy, proprietary or undocumented interfaces. Infix AutoMetal automatically analyzes and describes protocols, interfaces and file formats.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/be550442-e6ec-4537-808d-7ddb6feb57d01,,,,,,,,,,,,,,,,,,,['https://infix.ai/'],DEN HAAG
INFRASPEAK,"Infraspeak is a Portuguese SaaS company known for its IMMP (Intelligent Maintenance Management Platform. Founded in 2015 by Luís Martins and Felipe Ávila da Costa, their operation now supports 800+ clients spanning 25+ countries, notably Portugal, Spain, Brazil, and the UK. Infraspeak has close to 800 clients in Facility Management and other high-criticality industries such as Healthcare, Manufacturing, Retail, Commercial Real Estate and the Public Sector. Infraspeak's reach means they currently manage over 2.5 million types of equipment across 200,000 buildings worldwide, effectively executing and controlling over 50 million maintenance tasks. Infraspeak counts on the expertise of many Customer Success professionals, many with a background in engineering, ensuring a thoughtful and collaborative onboarding experience. Infraspeak has an NPS score of eight and achieved its ISO27001 certification in 2023, an internationally recognised data security and safeguarding certificate.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/96bfb849-b975-4fbd-98ad-fc4504c743361,,,,,,,,,,,,,,,,,,,['https://infraspeak.com/'],PORTO
INITIATIVE FRANCE,"Créé en 1985, Initiative France est le premier réseau associatif de financement et d’accompagnement des entrepreneurs. Réseau généraliste, Initiative France soutient chaque année plus de 25 000 entrepreneurs dont près de 1000 entrepreneurs innovants par l’octroi de prêt d’honneur à la personne et un accompagnement gratuit et dans la durée. Parmi les 207 associations locales qui composent le réseau, certaines ont développé des solutions de financement et d’accompagnement spécifiquement pensées pour les fondateurs de start-up : un financement non dilutif d’une moyenne de 40 000 euros, dès le stade de l’amorçage, permettant d’augmenter ses fonds propres sans céder des parts dès le démarrage. Pousser la porte de l’une de nos associations, c’est aussi, pour un porteur de projet innovant, bénéficier d’une mise en réseau avec d’autres entrepreneurs innovants et d’une introduction dans cet écosystème : incubateurs, banques, pôles de compétitivité...",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/a5d61fd7-068d-4f6f-aebb-336801526a7c1,,,,,,,,,,,,,,,,,,,['https://initiative-france.fr/'],None
INNOFENSO,Regulation progressively requires farmers to reduce the systematic use of pesticides to control pests. InnoFenso develops proprietary innovative biological control solutions based on auxiliary insects to replace the use of synthetic pesticides in the field for an ever more environmentally-friendly agriculture,https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/6a1d1148-26a1-4e62-ae89-3143ccb159b741,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.innofenso.com'],NICE
INNOV INVEST,"Proudly Ivorian, resolutely innovative INNOV INVEST is an Ivorian company specializing in the design, assembly and marketing of laptops, educational tablets and eco LED pens. Born from the ambition to offer cutting-edge technological solutions meeting the specific needs of the Ivorian market, INNOV INVEST stands out for its commitment to innovation, quality and accessibility: INNOV INVEST DESIGNS COMPUTERS (LAPTOP / DESKTOP ALL IN ONE), with autonomy beyond average, bilingual keyboards and a unique design on the shells with African patterns, EDUCATIONAL TABLETS (Development of intellectual daily life and lessons), PEN ECO LED (night lighting Our Specificity and particularity: - Autonomy beyond the average going up to 8H - Flash charge time - Bilingual keyboard (Azerty-Qwerty) - Actual characteristic for the i3/i5/i7/i9/Gamer microprocessor - Latest generation 12Gn computers - cases with unique African patterns - Version with a traceability system in the event of loss thanks to satell",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/ff75bef1-d954-4a4b-a83d-2f8f09138edd1,,,,,,,,,,,,,,,,,,,['https://www.innovshop.ci/'],ABIDJAN
INNOVING,"Town halls in French-speaking Africa have been left behind in the modernization of public administration, yet they are responsible for managing local communities. Since 2020, thanks to Innoving, several town councils have: - Increase their tax base, - Secure their own revenues, - Accelerate the development of their towns without being 100% dependent on central government. Innoving offers technology for identifying and geolocating taxpayers, enabling them to pay their taxes via their smartphone, via a collection agent, or by going to the town hall. The AI and data analytics embedded in our application make it possible to analyze connected data in real time and anticipate the actions of local authorities. Innoving also offers town halls a suite of management tools for digitizing all their work processes.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/e1d6d8c7-3f11-4ce6-b3c4-22ba7a7ee27a1,,,,,,,,,,,,,,,,,,,['https://www.nzassa.pro/'],ABIDJAN COCODY
INSTITUT MINES-TÉLÉCOM (IMT),"Institut Mines-Télécom is France's leading public group of engineering and management graduate schools. Made up of eight public graduate schools and two subsidiary schools, IMT leads and develops a rich ecosystem of partner schools, economic, academic and institutional partners, and players in training, research and economic development. Created in the 19th century to meet France's economic and industrial development needs, the IMT graduate schools have accompanied every revolution in industry and communications. Through research and training of engineers, managers, and PhDs, Institut Mines-Télécom takes up the major industrial, digital, energy and ecological challenges in France, Europe and around the world. Nowadays, we are working together to imagine and create a world that combines science, technology and economic development with respect for the planet and for the women and men who live on it.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/07e8e350-f498-4486-bae6-e1ac4125217b1,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.imt.fr'],None
INSTITUT POLYTECHNIQUE DE PARIS (IP PARIS),"Institut Polytechnique de Paris (IP Paris) is a world-class Institute of science and technology encompassing 5 prestigious French engineering Schools: École Polytechnique, ENSTA Paris, ENSAE Paris, Télécom Paris, Télécom SudParis. Alongside education and research, innovation is one of the three strategic pillars of IP Paris. Our innovation strategy aims to support entrepreneurship and the creation of startups, particularly «DeepTech» startups based on advanced technologies originating from our laboratories. IP Paris has three startup incubators: X-UP (École Polytechnique) in Palaiseau, Télécom Paris Incubator in Paris and IMT Starter (Télécom SudParis) in Evry. Every year, more than 100 innovative startups are born within the incubators of IP Paris schools, with a particular focus on the following themes: Greentech, Healthtech, AI & Data, Cybersecurity, Industries of the future, Blockchain, Robotics & IoT, Digital, EdTech.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/50063157-e920-4498-bd51-798d3c4d0f981,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/ip-paris.fr'],None
INTAJ MOUHTAWAYAT,"INTAJ stands at the forefront of digital development, leveraging its expertise to redefine industries. Recognized with the esteemed 2019 Stevie Awards Bronze and hailed as a pioneer in digital and telecom at the 2023 MEA Awards, INTAJ has earned its reputation through groundbreaking innovations. Among their notable achievements are ANAZIK and ANAFLIX, the latter being the first music on-demand application with over 2 million downloads and the first video on-demand platform respectively. Additionally, their culinary app CHEF DARI, blending artificial intelligence with culinary expertise, has garnered acclaim. Introducing SMART PANDA, the pioneering free learning platform, further exemplifies INTAJ's commitment to accessibility and education. Their prowess in artificial intelligence extends to the establishment of an AI department, culminating in the creation of the first fully-trained AI bot capable of assisting companies and business customers with human-like efficiency.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/83e2af43-8906-487d-861e-72105eefe9821,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www-intaj-dz.com'],ALGIERS
INTEGRATOR,"Integrator JSC delivers AI workforce solutions with predictable outcomes, tailored to the specific needs of our global clients. Rooted in an AI-opening mission, our approach empowers and upskills companies, ensuring they thrive in a competitive market. Our team committed to integrity, forges long-term partnerships that enable businesses to clearly see and continuously seize the benefits of AI, ensuring they remain relevant and inspired well into the future",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/32fb9939-4b23-492a-bbfc-143c770154f11,,,,,,,,,,,,,,,,,,,['https://ntgr.ai/'],SOFIA
INTELLIGENT MACHINES LIMITED,"We build enterprise AI products to solve high-value business problems. Since June 2018, we have built and deployed more than 60 AI models, parsers, and algorithms for 15 clients in five countries, including the USA, Australia, and UAE. We have served Unilever, Arla Foods, Telenor, International Growth Centre, BAT, Banglalink, IDLC, Prime Bank, Ooredoo, Wave Money, Cathay Bank, Health Explorer, Careerverse, BHP, and a2i. We have ISO/IEC 42001:2023 for AI Management, ISO 9001:2015 Quality Management, and ISO/IEC 27001:2013 Information Security Management systems. We were a Microsoft Gold Partner for both Data Engineering and Data Platform competencies. We're looking for enterprise clients and qualified investments to support our growth.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/949bc516-e2f5-4a1e-9f09-6755395b88dc1,,,,,,,,,,,,,,,,,,,['https://bangladesh.ai/'],DHAKA
INTERPREFY,"Interprefy is a leading multilingual solutions provider that breaks down language barriers by providing remote simultaneous interpretation, award-winning AI speech translation, and live captions for professional multilingual meetings and events. With the ability to integrate seamlessly into popular conferencing platforms, it offers real-time language solutions in multiple language combinations to ensure your audience can listen, read, and speak in their preferred language. Ideal for everything from small meetings to large global events, Interprefy ensures accessibility and inclusivity. Its sustainable, tech-forward approach reduces logistical challenges and carbon emissions, making it a top choice for organizations aiming to host impactful, inclusive events globally. It's time that you start experiencing the Interprefy difference!",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/7d6ff0d6-4d96-4783-a97e-ccef555b69dd1,,,,,,,,,,,,,,,,,,,['https://www.interprefy.com/'],None
INTERSTIS,"Interstis, la plateforme collaborative 100% française et sécurisée, véritable alternative à Microsoft. Avec son outil, la start-up souhaite permettre aux acteurs de la fonction publique territoriale d’accéder, dans un espace unique, à plus de 10 outils collaboratifs sécurisés (gestion de projets, outil de visioconférence...). Chez Interstis, la sécurité de vos données est notre priorité et elles sont hébergées chez 3DS Outscale, dans un environnement SecNumCloud, très haut niveau en matière de sécurité. En termes de sobriété numérique, Interstis a été labellisé ""Numérique Responsable de niv. 1"" et notre société s'inscrit dans une démarche d'achat responsable. Concernant l'accessibilité numérique, nos équipes travaillent sans relâche afin de rendre notre plateforme et ses outils 100% accessibles à toutes et tous. Aujourd'hui, notre outil se démarque de ses concurrents par son coût abordable (utilisateurs illimités et prix selon le nombre d’espaces dont vous avez besoin).",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/5d776ea9-41a2-46d4-99fd-4aae0a4dd0471,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/www.interstis.fr'],LE CREUSOT
INTIREALITY,"iR(intiReality)🌟 est le premier studio d’animation immersive au monde qui donne vie aux objets et aux lieux grâce à notre technologie brevetée d’IA-réalité augmentée. 🎩🪄Nous apportons aussi une extension immersive réelle+virtuelle+vivante aux événements et expositions. Nous présentons 3 innovations : - Retail ++ : Nous proposons une nouvelle méthodologie pour générer du trafic de point de vente immersif avec notre technologie. - Publicité ++ : Nous donnons vie à vos campagnes d’affiches publicitaires pour attirer autrement le public vers votre point de vente. - Événement ++ : Attirez plus de visiteurs pour votre événement physique (salon) avec notre méthodologie avant-pendant-après événement. Si vous souhaitez en savoir plus sur nous et notre méthodologie de trafic de point de vente immersif, n’hésitez pas à nous rendre visite au stand B27-013 (stand immersif de la région Bourgogne Franche-Comté). Website: intireality.com 🌐",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/9dd4853d-73ce-40f4-b443-e43f06ebdfdb1,,,,,,,,,,,,,,,,,,,['https://vivatechnology.com/partners/Intireality.com'],BESANÇON
INTUOS,"Intuos is transforming General Aviation asset management industry, through a digital service platform combining sets of “off-the-shelf” electronic devices, management software and proactive and predictive analytics based on sensor data interpretation. Our objective is to support the industry operators to address: very intensive manual processes with low productivity and data security; lack of data to monitor real time and ongoing aircrafts performances; maintenance programs only pre-scheduled and based on #s flight hours. Our hardware collect and transmit in real time flight and engine data to the ground on a web application, accessible from anywhere We provide real time flight monitoring and predictive maintenance warnings, integrated within our fleet management software. The owner of the aircraft can fly safer, monitor any use by other pilots and make maintenance more efficient and cost effective.",https://storageprdv2inwink.blob.core.windows.net/1a2965b3-2132-40f9-983f-3f92a35743fe/cf794582-01d5-46e8-8818-f6b487be52f01,,,,,,,,,,,,,,,,,,,['https://www.intuos.it/'],L AQUILA
