nom,SIREN,Date de création,Denomination légale,Denomination usuelle,Activité principale,Tranche effectifs,Catégorie entreprise,État administratif,Adresse
ALVEOS EV,849162490,2019-03-08,ALVEOS EV,Non disponible,70.21Z,02,PME,A,"13 RUE CAMILLE DESMOULINS, 92130 ISSY-LES-MOULINEAUX"
AMAZING.DEV,849115944,2019-03-03,AMAZING DEV,Non disponible,58.29C,01,ETI,A,"11 RUE KEPLER, 75016 PARIS"
AMBASSADORSLAB,424468114,1999-09-01,DROLE D'AGENCE,Non disponible,58.29C,01,PME,A,"90 RUE DE BARBEAU, 77850 HERICY"
AMBER ENERGY,911537538,2022-01-06,AMBER ENERGY,Non disponible,71.12B,01,PME,A,"13 AVENUE JACQUES MOISON, 26770 TAULIGNAN"
AMBLER,840859300,2018-03-01,AMBLEA,Non disponible,62.01Z,12,PME,A,"65 RUE ORDENER, 75018 PARIS"
AMIRAL TECHNOLOGIES,839798451,2018-05-15,AMIRAL TECHNOLOGIES,Non disponible,62.01Z,11,PME,A,"12 RUE AMPERE, 38000 GRENOBLE"
AMJE PARIS,429401961,1999-12-07,ARTS ET METIERS JUNIOR ETUDE PARIS - AMJE PARIS,Non disponible,85.59B,00,PME,A,"151 BOULEVARD DE L'HOPITAL, 75013 PARIS"
AMOLYT PHARMA,803919729,2014-07-30,AMOLYT PHARMA,Non disponible,72.19Z,12,PME,A,"15 CHEMIN DU SAQUIN, 69130 ECULLY"
AMS R&D,482942687,2005-06-16,AMS R&D SAS,AMS R&D,72.19Z,01,PME,A,"2 RUE SUZANNE RUELLE, 77240 SEINE-PORT"
ANANKÉ,952605970,2023-05-09,ANANKE,Non disponible,41.10B,Non disponible,Non disponible,A,"5 BOULEVARD DU COUHARD, 42680 SAINT-MARCELLIN-EN-FOREZ"
ANAPIX MEDICAL,821168119,2016-05-23,ANAPIX MEDICAL,Non disponible,62.01Z,03,PME,A,"100 IMPASSE DES HOUILLERES, 13590 MEYREUIL"
ANDJARO,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ANGEL ASSISTANCE,794960013,2013-07-23,ANGEL ASSISTANCE,Non disponible,80.20Z,Non disponible,Non disponible,C,"CHE STRATEGIQUE, 54220 MALZEVILLE"
ANGUS AI,810796953,2015-04-09,ANGUS.AI,Non disponible,58.29C,Non disponible,PME,A,"6 SQUARE DESAIX, 75015 PARIS"
ANOTHERBRAIN,827693466,2017-02-08,ANOTHER BRAIN,Non disponible,71.12B,21,PME,A,"29 RUE SAINT-AUGUSTIN, 75002 PARIS"
ANOZR WAY,848675120,2019-02-25,ANOZRWAY,Non disponible,63.11Z,12,PME,A,"1137 AVENUE DES CHAMPS BLANCS, 35510 CESSON-SEVIGNE"
APEC / ASSOCIATION POUR L'EMPLOI DES CADRES,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
APEX ENERGIES,382499499,1991-06-25,APEX ENERGIES,Non disponible,43.21A,22,ETI,A,"1 AVENUE GUSTAVE CHARLERY, 97300 CAYENNE"
APITOUR,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
APIX ANALYTICS,803133933,2014-01-01,APIX ANALYTICS,Non disponible,26.51B,12,PME,A,"60 RUE DES BERGES, 38000 GRENOBLE"
APNEAL,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
APOLLO BAY,840648125,2018-06-15,APOLLO BAY,Non disponible,58.29C,01,PME,A,"2 AVENUE DU CIMETIERE, 78400 CHATOU"
APPALOOSA STORE,508928124,2008-12-03,APPALOOSA,Non disponible,47.64Z,Non disponible,PME,A,"60 RUE SAINT-ANDRE DES ARTS, 75006 PARIS"
APPLE WIND NEW,532728946,2011-05-02,APPLE WIND NEW,Non disponible,43.32B,Non disponible,Non disponible,C,"RUE DU CHEMIN VERT, 59710 AVELIN"
APPLIDGET,512747676,2009-05-20,EVENTMAKER,Non disponible,62.01Z,21,ETI,A,"4 RUE D'ALSACE, 92300 LEVALLOIS-PERRET"
APPLIED MATERIALS,385124862,1992-03-01,APPLIED MATERIALS FRANCE,Non disponible,33.13Z,31,ETI,A,"7  PRV LOUIS NEEL, 38000 GRENOBLE"
APPLIED TECHNOLOGIES INTERNET,403261258,1996-01-02,APPLIED TECHNOLOGIES INTERNET,AT INTERNET,63.11Z,22,PME,A,"15 RUE AUBER, 75009 PARIS"
APPS HABITAT,848896106,2019-02-25,APPS HABITAT SAS,Non disponible,62.01Z,01,PME,A,"16 RUE GENERAL PERRIER, 30000 NIMES"
APPS VELOCITY,798311833,2013-09-30,APPS VELOCITY,Non disponible,71.12B,02,PME,A,"1025 AVENUE HENRI BECQUEREL, 34000 MONTPELLIER"
APPSCHO,804804441,2014-09-01,"""APPSCHO""",Non disponible,62.01Z,12,PME,A,"24 RUE GARNIER PAGES, 94100 SAINT-MAUR-DES-FOSSES"
APPVIZER,794633347,2013-08-01,CLOUD IS MINE,Non disponible,70.22Z,12,PME,A,"ROND-POINT BENJAMIN FRANKLIN, 34000 MONTPELLIER"
APREX SOLUTIONS,833037161,2017-10-27,APREX,Non disponible,62.01Z,11,PME,A,"2 ALLEE ANDRE GUINIER, 54000 NANCY"
AQUATECH INNOVATION,841645815,2018-08-01,AQUATECH INNOVATION,Non disponible,37.00Z,02,PME,A,"140 AVENUE DE LA REGLISSE, 34070 MONTPELLIER"
AR TECHNOLOGIES,981519283,2023-11-09,AR TECHNOLOGIES,Non disponible,71.12B,Non disponible,Non disponible,A,"45  IMPASSE-DES-CYPRES, 07130 TOULAUD"
ARAÏKO,890872039,2020-11-05,CYNAPPS,Non disponible,62.01Z,03,PME,A,"555 CHEMIN DES ARCUIRES, 01250 MONTAGNAT"
ARC DATA SHIELD,913002754,2022-05-01,ARC DATA SHIELD,Non disponible,58.29A,01,PME,A,"1 RUE DU CHATEAU DE BEL AIR, 44470 CARQUEFOU"
ARC EN CIEL SÉRIGRAPHIE,328947692,1984-01-01,ARC EN CIEL SERIGRAPHIE,Non disponible,22.29B,12,PME,A,"LE FORESTIER, 42630 REGNY"
ARCHI REALITY,820169738,2016-04-01,ARCHI-REALITY,Non disponible,18.13Z,01,PME,A,"11 RUE LOUISE COLET, 13090 AIX-EN-PROVENCE"
ARENAMETRIX,794062497,2013-07-03,TECH'4'TEAM,Non disponible,58.29B,12,PME,A,"157 BOULEVARD MACDONALD, 75019 PARIS"
ARGO AUGMENTED REALITY,804465276,2014-08-31,ARGO,Non disponible,62.01Z,11,PME,A,"1025 AVENUE HENRI BECQUEREL, 34000 MONTPELLIER"
ARIADNEXT,520769225,2010-03-05,IDNOW SAS,Non disponible,62.01Z,22,PME,A,"1219 AVENUE DES CHAMPS BLANCS, 35510 CESSON-SEVIGNE"
ARIANE TOURNEUR,510465214,2009-01-30,T.A. PRODUCTIONS,Non disponible,59.11C,Non disponible,PME,A,"ALLEE HENRI DESGRANGE, 26000 VALENCE"
ARJO SYSTEMS,807924584,2014-11-21,HID GLOBAL CID SAS,Non disponible,46.52Z,11,ETI,A,"32 AVENUE PIERRE GRENIER, 92100 BOULOGNE-BILLANCOURT"
ARK ECOSYSTEM,833439300,2017-11-08,ARK ECOSYSTEM,Non disponible,62.01Z,Non disponible,PME,A,"1394 RUE DU VILLAGE, 39570 VILLENEUVE-SOUS-PYMONT"
ARKANCE SYSTEMS FRANCE,339715542,1986-12-17,ARKANCE SYSTEMS FRANCE,Non disponible,46.51Z,22,GE,A,"8 RUE ALBERT EINSTEIN, 54320 MAXEVILLE"
ARKEON ENERGY SYSTEMS,888214673,2020-08-20,ARKEON ENERGY,Non disponible,71.12B,01,PME,A,"45 ALLEE THEODORE MONOD, 64210 BIDART"
ARKETYP 3D,539947200,2012-02-14,ARKETYP 3D,Non disponible,46.51Z,Non disponible,Non disponible,C,"11 ALL NOTRE DAME DES ANGES, 93340 LE RAINCY"
ARMELIO,523546703,2010-07-01,ENVIRPROD,ARMELIO,71.12B,12,PME,A,"14 RUE HECTOR BERLIOZ, 91460 MARCOUSSIS"
ARMONIE SANTE,890009954,2020-10-01,ARMONIE SANTE,Non disponible,72.19Z,01,PME,A,"3 IMPASSE LEON DIERX, 97436 SAINT-LEU"
ARTERIAL REMODELLING TECHNOLOGIES,439917295,2001-11-12,ARTERIAL REMODELLING TECHNOLOGIES,Non disponible,72.11Z,Non disponible,PME,C,"18 RUE ALAIN SAVARY, 25000 BESANCON"
ARTHA FRANCE,843242918,2018-10-15,ARTHA FRANCE,Non disponible,72.19Z,01,PME,A,"12 RUE SAINTE ADELAIDE, 78000 VERSAILLES"
ARTIPS,792147209,2013-03-26,ARTLY PRODUCTION,Non disponible,73.12Z,12,PME,A,"71 RUE DU FAUBOURG SAINT-MARTIN, 75010 PARIS"
ARVERNE GEOTHERMAL,891015703,2020-10-02,LITHIUM DE FRANCE,Non disponible,71.12B,11,PME,A,"16 RUE DES COUTURIERES, 67240 BISCHWILLER"
ARX CORPORATE FINANCE,798239349,2013-11-05,ARX CORPORATE FINANCE,ARX,62.01Z,11,PME,A,"27 RUE DU CHEMIN VERT, 75011 PARIS"
ARX IT,493517577,2006-12-01,ARX IT,ARX IT,62.02A,11,PME,A,"3 ESP PERSPECTIVE DE L OCEAN, 17000 LA ROCHELLE"
ARXCF,798239349,2013-11-05,ARX CORPORATE FINANCE,ARX,62.01Z,11,PME,A,"27 RUE DU CHEMIN VERT, 75011 PARIS"
ARYBALLE TECHNOLOGIES,800742405,2014-02-20,ARYBALLE,Non disponible,72.19Z,12,PME,A,"7 RUE DES ARTS ET METIERS, 38000 GRENOBLE"
ASCEND BEYOND SPACE,934094608,2024-10-03,ASCEND BEYOND SPACE,Non disponible,30.30Z,Non disponible,Non disponible,A,"20 RUE POLARIS, 74650 CHAVANOD"
ASCLEPIOS TECH,880245188,2019-12-23,ASCLEPIOS TECH,Non disponible,72.19Z,01,PME,A,"68 AVENUE DE GASCOGNE, 31170 TOURNEFEUILLE"
ASCORBAT - SCAN BTP,900532250,2021-07-01,ASCORBAT,Non disponible,70.22Z,Non disponible,PME,A,"14 RUE D'ALIGRE, 75012 PARIS"
ASK FOR THE MOON,901072389,2021-06-29,DREAM YOUR MOON,Non disponible,70.22Z,Non disponible,PME,A,"32 RUE FABRE D'EGLANTINE, 92500 RUEIL-MALMAISON"
ASK LOCALA (EX S4M),534318415,2011-08-23,ASK LOCALA,Non disponible,58.29C,12,PME,A,"49 RUE FERNAND PELLOUTIER, 92100 BOULOGNE-BILLANCOURT"
ASK MONA,827747874,2017-03-01,ASKMONA,Non disponible,62.01Z,11,PME,A,"14 RUE CHARLES DARWIN, 77420 CHAMPS-SUR-MARNE"
ASNE ARCHITECTURE,888171410,2020-07-30,ASNE ARCHITECTURE,Non disponible,71.11Z,Non disponible,PME,A,"8 PASSAGE COURTOIS, 75011 PARIS"
ASSURONE GROUP,478193386,2004-07-20,ASSURONE GROUP,Non disponible,66.22Z,32,ETI,A,"84 QUAI JOSEPH GILLET, 69004 LYON"
ASSURUP,811686062,2015-05-08,ASSUR'UP,Non disponible,66.22Z,03,PME,A,"15 RUE POISSONNIERE, 75002 PARIS"
ASTERION VR,821520970,2016-07-01,ASTERION VR,Non disponible,62.01Z,01,PME,A,"22 RUE JEAN-MARIE DAVID, 35740 PACE"
ASTON ITF,525108288,2010-09-09,[ND],[ND],62.02A,11,PME,A,"[ND] [ND] [ND], [ND] PARIS"
ASTON ITRADE FINANCE,525108288,2010-09-09,[ND],[ND],62.02A,11,PME,A,"[ND] [ND] [ND], [ND] PARIS"
ASTREE SOFTWARE,538739814,2011-12-23,ASTREE SOFTWARE,Non disponible,58.29C,22,PME,A,"15 CHEMIN DE LA CRABE, 31300 TOULOUSE"
ASTRÉE SOFTWARE,538739814,2011-12-23,ASTREE SOFTWARE,Non disponible,58.29C,22,PME,A,"15 CHEMIN DE LA CRABE, 31300 TOULOUSE"
ATELIER DES LUMIÈRES,378955116,1990-07-10,CULTURESPACES,CULTURESPACES,91.03Z,32,ETI,A,"RUE MADELEINE ROCH, 84100 ORANGE"
ATELIER MÉRIGUET-CARRÈRE,381172360,1991-02-14,ATELIER MERIGUET CARRERE,Non disponible,43.34Z,21,ETI,A,"77 RUE MARCELLIN BERTHELOT, 94140 ALFORTVILLE"
ATELIER XYZ,852504281,2019-07-15,ATELIER XYZ,Non disponible,41.20A,Non disponible,PME,A,"15 RUE DU GENERAL REVEL DE BRETTEVILLE, 14210 SAINTE-HONORINE-DU-FAY"
ATELIERS DE FRANCE (MÉRIGUET-CARRÈRE),794195818,2013-07-04,ATELIER DE FRANCE,Non disponible,70.10Z,11,ETI,A,"84 RUE DE L'ABBE GROULT, 75015 PARIS"
ATEMPO.WOOXO GROUP,383923786,1992-01-02,ATEMPO,Non disponible,58.29C,22,PME,A,"2 RUE JEAN ROSTAND, 91400 ORSAY"
ATHENA RECHERCHE ET INNOVATION,823166020,2016-09-19,ATHENA RECHERCHE ET INNOVATION,Non disponible,72.11Z,03,PME,A,"3 RUE HENRI PERRET, 49170 SAINT-GEORGES-SUR-LOIRE"
ATIM RADIOCOMMUNICATIONS,410460422,1997-01-03,ATIM SARL,Non disponible,26.30Z,11,PME,A,"69 RUE PASTEUR, 38180 SEYSSINS"
ATIPIK SOLUTIONS,824610935,2016-12-19,ATIPIK SOLUTIONS,Non disponible,58.29C,01,PME,A,"1 ALLEE DU CLOS DU CHATEAU, 38640 CLAIX"
ATLANTIS AI,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
ATMOTRACK,810418798,2015-03-06,42 FACTORY,Non disponible,70.22Z,11,PME,A,"2 RUE ALFRED KASTLER, 44300 NANTES"
ATOMIC DIGITAL DESIGN,539355164,2012-01-02,ATOMIC SOOM,Non disponible,59.11B,21,PME,A,"3 RUE DES MONTIBOEUFS, 75020 PARIS"
ATTESTATION LÉGALE,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AUDIENCE SQUARE,753185396,2012-07-25,AUDIENCE SQUARE,Non disponible,73.12Z,Non disponible,Non disponible,C,"9 RUE DU QUATRE SEPTEMBRE, 75002 PARIS 2"
AUEG – ALLIANCE UNIVERSITÉ ENTREPRISE DE GRENOBLE,779560242,1985-07-25,ALLIANCE UNIV ENTR DE GRENOBLE,Non disponible,94.99Z,01,PME,A,"385 AVENUE DE LA BIBLIOTHEQUE, 38400 SAINT-MARTIN-D'HERES"
AUGMENTED CISO,899421671,2021-05-17,TENACY,Non disponible,62.01Z,12,PME,A,"55 AVENUE RENE CASSIN, 69009 LYON"
AUM BIOSYNC,817509094,2016-01-04,AUM BIOSYNC,Non disponible,62.02A,12,PME,A,"12 RUE ROYALE, 69001 LYON"
AURA AERO,842171316,2018-08-23,AURA AERO,Non disponible,30.30Z,22,PME,A,"38 RUE DE LA TOURAINE, 31100 TOULOUSE"
AUTHENTIC MATERIAL,819886177,2016-04-20,AUTHENTIC MATERIAL,Non disponible,71.12B,11,PME,A,"29 RUE JEANNE MARVIG, 31400 TOULOUSE"
AUTOMATISMES COMMANDES NUMERIQUES SYSTEM,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AUVALIE INNOVATION,537490906,2011-10-26,AUVALIE INNOVATION SAS,Non disponible,70.22Z,11,PME,A,"32 RUE BERJON, 69009 LYON"
AUXO DYNAMICS,953180965,2023-05-17,AUXO,Non disponible,58.29C,Non disponible,Non disponible,A,"15 PLACE MARECHAL LYAUTEY, 69006 LYON"
AVANT DE CLIQUER,832080055,2017-09-08,AVANT DE CLIQUER,Non disponible,62.01Z,12,PME,A,"100 AVENUE GUILLAUME LE CONQUERANT, 14100 LISIEUX"
AVENIR METAL,411468366,1997-03-24,SAS AVENIR METAL,Non disponible,43.91B,12,PME,A,"2 ZA LES PRAIRIES, 38290 FRONTONAS"
AVIS VERIFIÉS,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible,Non disponible
AVOB,512644105,2009-03-27,ALTERNATIVE VISION OF BUSINESS,AVOB,58.29C,11,PME,A,"84 AVENUE DU GENERAL LECLERC, 92100 BOULOGNE-BILLANCOURT"
AVOLOI,753111319,2012-09-01,DME COMMUNICATION,Non disponible,70.21Z,11,PME,A,"2 RUE ROBERT LE RICOLAIS, 44300 NANTES"
AXESS VISION TECHNOLOGY,488295759,2006-01-01,AXESS VISION TECHNOLOGY,Non disponible,32.50A,21,PME,A,"6 RUE DE LA FLOTTIERE, 37300 JOUE-LES-TOURS"
AXILUM ROBOTICS,531573376,2011-04-11,AXILUM ROBOTICS,Non disponible,71.12B,03,PME,A,"21 AVENUE DE L'EUROPE, 67300 SCHILTIGHEIM"
AXL TECHNOLOGIES,899847669,2021-05-28,AXL TECHNOLOGIES,Non disponible,71.12B,NN,PME,A,"90 RUE HENRI FABRE, 01630 SAINT-GENIS-POUILLY"
"AXLR, SATT OCCITANIE MÉDITERRANÉE",753642248,2012-08-27,"AXLR, SATT OCCITANIE MEDITERRANEE",Non disponible,74.90B,12,PME,A,"950 RUE SAINT-PRIEST, 34090 MONTPELLIER"
AXYN ROBOTIQUE,804646347,2014-09-05,AXYN ROBOTIQUE,Non disponible,71.12B,11,PME,C,"100 ROUTE HOUILLERES, 13590 MEYREUIL"
AZFALTE,889610606,2020-09-25,ARANBERG,Non disponible,62.01Z,11,PME,A,"16 AVENUE EDOUARD SCHWOOB, 59700 MARCQ-EN-BARŒUL"
AZUR DRONES,811794601,2015-06-01,AZUR DRONES,Non disponible,74.90B,21,ETI,A,"49 RUE SAINT-DIDIER, 75016 PARIS"
AZZURA LIGHTS,512914276,2009-06-04,AZZURA LIGHTS,Non disponible,74.90B,Non disponible,PME,A,"8 CHEMIN DES GRANDS PLANS, 06800 CAGNES-SUR-MER"
BACK MARKET,834103111,2017-12-12,LH BACKMARKET,Non disponible,64.20Z,Non disponible,ETI,A,"2 RUE DE THANN, 75017 PARIS"
BACK OFFICE SERVICES,930755152,2024-07-03,BACK OFFICE SERVICES,Non disponible,82.11Z,Non disponible,Non disponible,A,"28 RUE DES MOULINS, 91600 SAVIGNY-SUR-ORGE"
BANG BANG MANAGEMENT,753488170,2012-07-18,BANG BANG MANAGEMENT,Non disponible,70.22Z,Non disponible,Non disponible,C,"59 RUE DES PEUPLIERS, 92100 BOULOGNE-BILLANCOURT"
BANKIN',907753735,2021-11-22,BANKIN',Non disponible,62.01Z,12,GE,A,"1 COURS ANTOINE GUICHARD, 42000 SAINT-ETIENNE"
BANQUE POPULAIRE AUVERGNE RHÔNE ALPES,605520071,1955-01-01,BANQUE POPULAIRE AUVERGNE RHONE ALPES,Non disponible,64.19Z,51,GE,A,"5 PLACE DE LA GRENETTE, 74150 RUMILLY"
BARACODA DAILY HEALTHTECH,900958059,2021-06-24,BARACODA DAILY HEALTHTECH,Non disponible,62.01Z,12,PME,A,"22 RUE FERDINAND DE LESSEPS, 92200 NEUILLY SUR SEINE"
BARBABLANKA - HENRY,832463194,2017-10-01,BARBABLANKA,Non disponible,62.01Z,03,PME,A,"418 RUE DU MAS DE VERCHANT, 34000 MONTPELLIER"
BASE79,793209727,2013-05-16,BASE 79 SARL,Non disponible,77.40Z,Non disponible,Non disponible,C,"146 BD MALESHERBES, 75017 PARIS 17"
BASTILLE CYCLES,840803100,2018-06-23,BASTILLE CYCLES,Non disponible,72.19Z,03,PME,A,"72 BOULEVARD EXELMANS, 75016 PARIS"
BATIR GROUP,927674820,2024-04-01,BATIR GROUPE,Non disponible,43.22B,Non disponible,Non disponible,A,"91 RUE DU FAUBOURG SAINT-HONORE, 75008 PARIS"
BATVOICE TECHNOLOGIES,808942213,2015-01-01,BATVOICE TECHNOLOGIES,Non disponible,58.29C,11,PME,A,"9 RUE DES COLONNES, 75002 PARIS"
BAYES IMPACT,813821279,2015-08-14,BAYES IMPACT FRANCE,Non disponible,62.01Z,02,PME,A,"9 AVENUE PUVIS DE CHAVANNES, 92400 COURBEVOIE"
BE ENERGY,921570776,2022-11-21,BE ENERGY,Non disponible,46.74B,Non disponible,PME,A,"8 IMPASSE DU CLOS DE NINE, 34480 MAGALAS"
BE PATIENT,529589293,2010-11-10,BE PATIENT,Non disponible,63.11Z,12,PME,A,"24 RUE CHARLOT, 75003 PARIS"
BE SPOON,521277319,2010-03-10,BE SPOON,Non disponible,72.19Z,Non disponible,GE,A,"27 BOULEVARD DE PARIS, 73100 AIX-LES-BAINS"
BE YS HEALTH SOLUTIONS FRANCE,883464356,2020-06-01,BE YS HEALTH SOLUTIONS FRANCE,Non disponible,62.01Z,11,PME,A,"336 RUE SAINT-HONORE, 75001 PARIS"
BE YS PAY FRANCE,883799736,2020-05-15,BE YS PAY FRANCE,Non disponible,62.01Z,02,PME,A,"10 BOULEVARD HAUSSMANN, 75009 PARIS"
BE YS RESEARCH FRANCE,500933221,2007-11-01,BE YS RESEARCH FRANCE,Non disponible,70.22Z,11,PME,A,"43 AVENUE DE LA GRANDE ARMEE, 75016 PARIS"
BE2BILL,443222682,2002-01-02,PAYPLUG ENTERPRISE SAS,SVI GESTION,64.19Z,22,GE,A,"40 RUE CAMILLE ROY, 69007 LYON"
BEACON & EGGS,831328315,2017-08-10,BEACON & EGGS,Non disponible,62.01Z,01,PME,A,"12 RUE VIVIENNE, 75002 PARIS"
BEAM ME UP,825255821,2017-01-10,BEAM ME UP,Non disponible,70.22Z,Non disponible,PME,A,"19 RUE NICOLAS LEBLANC, 59000 LILLE"
BEAR SAS,677180127,1971-01-01,BEAR,Non disponible,41.20B,21,ETI,A,"47 ROUTE ECOSPACE, 67120 MOLSHEIM"
BEE WARE,451293948,2003-12-08,BEE WARE,Non disponible,58.29C,Non disponible,Non disponible,C,"501 RUE DENIS PAPIN, 34000 MONTPELLIER"
BEG INGENIERIE,478342579,2004-09-01,BEG INGENIERIE,Non disponible,71.12B,22,ETI,A,"17 AVENUE DIDIER DAURAT, 31700 BLAGNAC"
BEHRING WATER,488055658,2006-02-01,BEHRING,Non disponible,28.29B,12,PME,A,"61 CHEMIN DU VIEUX CHENE, 38240 MEYLAN"
BEHRING WATERS,488055658,2006-02-01,BEHRING,Non disponible,28.29B,12,PME,A,"61 CHEMIN DU VIEUX CHENE, 38240 MEYLAN"
BEINK DREAM,951949460,2023-04-21,BEINK DREAM,Non disponible,62.01Z,Non disponible,Non disponible,A,"6 RUE DU BOIS SAUVAGE, 91000 EVRY-COURCOURONNES"
BELIVE.AI,847925401,2019-01-17,BELIVE,Non disponible,62.01Z,21,ETI,A,"21 RUE MILLEVOYE, 80000 AMIENS"
BERTIN ALPAO,504089343,2008-04-16,BERTIN ALPAO,Non disponible,26.70Z,12,PME,A,"3 ALLEE DE BETHLEEM, 38610 GIERES"
BETTERFLY TOURISM,533563789,2011-07-01,BETTERFLY TOURISM,Non disponible,70.22Z,11,PME,A,"8 RUE DE SAINT DOMINGUE, 44200 NANTES"
BETTERISE TECHNOLOGIES,791307309,2013-02-04,RESILIENCE MD,Non disponible,59.13B,03,PME,A,"3 AVENUE FRANCOIS MAURIAC, 64200 BIARRITZ"
BEWARE CYBERLABS,841248354,2018-09-01,BEWARE CYBERLABS,Non disponible,62.02A,01,PME,A,"74 RUE GEORGES BONNAC, 33000 BORDEAUX"
BEYOND RATINGS,804579720,2014-09-02,BEYOND RATINGS,Non disponible,66.19B,11,PME,A,"18 RUE DU QUATRE SEPTEMBRE, 75002 PARIS"
BEYOND WORDS,892818816,2020-12-10,BEYOND WORDS,Non disponible,47.91A,02,PME,A,"1025 AVENUE HENRI BECQUEREL, 34000 MONTPELLIER"
BFAN SPORTS,828417303,2017-03-13,BFAN SPORTS,Non disponible,62.02A,11,PME,A,"134 BOULEVARD PEREIRE, 75017 PARIS"
BGENE GENETICS,800455362,2014-02-01,BGENE GENETICS,Non disponible,72.11Z,12,PME,A,"1 RUE LAFAYETTE, 38000 GRENOBLE"
BH TECHNOLOGIES,419130190,1998-06-03,BH TECHNOLOGIES,Non disponible,46.52Z,12,PME,A,"157 COURS BERRIAT, 38000 GRENOBLE"
BIDMOTION,808515209,2014-12-11,HYDRANE SAS,Non disponible,73.12Z,Non disponible,PME,C,"147 RUE D ABOUKIR, 75002 PARIS 2"
BIG COMPANY,439393000,2001-09-27,BIG COMPANY,Non disponible,59.11B,12,PME,A,"90 RUE BOILEAU, 69006 LYON"
BILAN VERT,979044955,2023-08-30,BILAN VERT,Non disponible,70.22Z,Non disponible,Non disponible,A,"19 AVENUE DE L'ETOILE D'OR, 93220 GAGNY"
BILHI GENETICS,751860420,2012-05-21,GENEPRED BIOTECHNOLOGIES,Non disponible,72.11Z,03,PME,A,"19 RUE ROUX DE BRIGNOLES, 13006 MARSEILLE"
BILL UP,931477426,2024-07-25,BU INVEST,Non disponible,62.01Z,Non disponible,Non disponible,A,"11 RUE DE L'EVECHE, 74940 ANNECY"
BIM&CO,810000943,2015-03-02,BIM AND CO,Non disponible,62.01Z,12,PME,A,"170 BOULEVARD DE LA VILLETTE, 75019 PARIS"
BIMCHAIN,833635816,2017-11-16,LUTECIUM,Non disponible,62.01Z,Non disponible,PME,A,"2 RUE BERVIC, 75018 PARIS"
BIO LOGBOOK,842241515,2018-09-11,BIO LOGBOOK,Non disponible,62.01Z,03,PME,A,"25 RUE DE LA FONDERIE, 44230 SAINT-SEBASTIEN-SUR-LOIRE"
BIO POOL TECH,822208237,2016-08-05,BIO POOL TECH,Non disponible,71.12B,03,PME,A,"AV LOUIS PHILIBERT, 13080 AIX EN PROVENCE"
BIODEVAS LABORATOIRES,481637726,2005-03-30,BIODEVAS LABORATOIRES,Non disponible,10.86Z,12,PME,A,"21 RUE DES CHARDONS, 72460 SAVIGNE-L'EVEQUE"
BIOLOGICS 4 LIFE,839980307,2018-05-22,BIOLOGICS 4 LIFE,Non disponible,32.50A,03,PME,A,"139 RUE PHILIPPE DE GIRARD, 84120 PERTUIS"
BIOM PARIS,819184763,2016-03-01,BIO'M,Non disponible,22.29B,00,PME,A,"12 RUE VIVIENNE, 75002 PARIS"
BIOPHYS - SOLUTIONS,523371961,2010-07-01,BIOPHYS SOLUTIONS,Non disponible,72.19Z,01,PME,A,"104 BOULEVARD HENRI BARBUSSE, 93100 MONTREUIL"
BIOSUMMER 3D,823659503,2016-11-01,BIOSUMMER DENTAL,Non disponible,46.46Z,02,PME,A,"10 RUE DE LA GARENNE, 35520 LA MEZIERE"
BIOTECH DENTAL,795001304,2022-10-01,BIOTECH DENTAL,Non disponible,46.46Z,22,ETI,A,"235 RUE DES CANESTEU, 13300 SALON-DE-PROVENCE"
BIRDS FOR CHANGE,901883520,2020-09-01,BIRDS FOR CHANGE,Non disponible,62.01Z,02,PME,C,"AV LOUIS PHILIBERT, 13080 AIX EN PROVENCE"
BKB CHEMICALS,882233000,2020-01-29,BKB,Non disponible,20.14Z,01,PME,A,"70 RUE DU DOCTEUR YERSIN, 59120 LOOS"
BLABLACAR,491904546,2006-09-16,COMUTO,Non disponible,52.21Z,32,ETI,A,"2 RUE DANTON, 92120 MONTROUGE"
BLISS ECOSPRAY,889870283,2020-10-15,BLISS ECOSPRAY,Non disponible,71.12B,03,PME,A,"20 RUE DANJOU, 92100 BOULOGNE BILLANCOURT"
BLOCKCHAIN PARTNER,818906646,2016-02-11,BLOCKCHAIN PARTNER,Non disponible,62.01Z,Non disponible,PME,A,"12 RUE DU LANDY, 92110 CLICHY"
BLOCKCHAIN.IO,908172851,2021-11-30,BLOCKCHAIN.COM FR SAS,Non disponible,66.19B,02,PME,A,"33 AVENUE PHILIPPE-AUGUSTE, 75011 PARIS"
